year,UNCLASSIFIED_text,UNCLASSIFIED_error,UNCLASSIFIED_blank,LOU_text,LOU_error,LOU_blank,CONFIDENTIAL_text,CONFIDENTIAL_error,CONFIDENTIAL_blank,SECRET_text,SECRET_error,SECRET_blank,OTHER_text,OTHER_error,OTHER_blank,total,total_text,total_error,total_blank
1973,61944,5254,202,36972,2624,179,33345,3666,213,7104,3487,214,81,0,0,155285,139446,15031,808
1974,142494,2155,168,67326,1023,66,55199,3680,115,10593,6786,110,40,0,0,289755,275652,13644,459
1975,159918,10826,738,71548,4967,613,59458,6742,560,12134,5094,507,56,0,0,333161,303114,27629,2418
1976,153321,35633,600,64753,13086,363,52800,11084,443,11529,3439,462,3,0,0,347516,282406,63242,1868
1977,147111,739,165,72631,334,107,68601,2076,173,14313,737,339,4,0,0,307330,302660,3886,784
1978,155592,146,97,75279,120,96,77324,134,212,16298,209,299,0,0,0,325806,324493,609,704
1979,154474,1162,213,69521,161,114,79310,511,264,15892,359,437,1,0,0,322419,319198,2193,1028
