month,UNCLASSIFIED_text,UNCLASSIFIED_error,UNCLASSIFIED_blank,LOU_text,LOU_error,LOU_blank,CONFIDENTIAL_text,CONFIDENTIAL_error,CONFIDENTIAL_blank,SECRET_text,SECRET_error,SECRET_blank,OTHER_text,OTHER_error,OTHER_blank,total,total_missing
1978-08,13481,10,9,6204,8,6,6017,12,12,1186,17,22,0,0,0,26984,96
1978-09,12767,18,6,5875,7,3,6301,8,22,1398,13,26,0,0,0,26444,103
1978-10,13654,9,16,6594,7,7,6968,11,25,1536,13,26,0,0,0,28866,114
1978-11,12440,11,8,6591,6,3,7140,12,23,1463,19,49,0,0,0,27765,131
1978-12,11427,4,10,5602,6,2,5886,11,30,1240,23,18,0,0,0,24259,104
1979-01,13085,12,11,5899,9,7,6098,13,15,1421,30,35,0,0,0,26635,132
1979-02,12130,10,8,5460,6,3,5852,13,14,1268,20,26,0,0,0,24810,100
1979-03,14697,16,9,6823,8,6,7213,11,33,1654,34,55,0,0,0,30559,172
1979-04,12706,62,17,6131,6,15,5964,25,18,1078,19,39,0,0,0,26080,201
1979-05,13284,217,32,6201,21,19,6689,126,41,1073,37,48,0,0,0,27788,541
1979-06,12903,143,33,5932,14,16,6630,44,21,1330,35,46,0,0,0,27147,352
1979-07,13138,169,19,5566,9,11,6134,61,15,1326,34,31,0,0,0,26513,349
1979-08,14117,227,4,6159,12,0,6684,72,10,1065,9,32,0,0,0,28391,366
1979-09,12527,52,4,5305,10,3,5857,39,8,903,23,21,0,0,0,24752,160
1979-10,13397,143,19,5497,38,14,6998,58,19,1228,25,18,0,0,0,27454,334
1979-11,11991,67,30,5469,11,6,8185,24,26,1689,27,25,0,0,0,27550,216
1979-12,10499,44,27,5079,17,14,7006,25,44,1857,66,61,1,0,0,24740,298
